         10431943 function calls (10401839 primitive calls) in 19.539 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       13    0.000    0.000    0.009    0.001 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/tqdm/std.py:1150(__str__)
       13    0.003    0.000    0.008    0.001 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/tqdm/std.py:464(format_meter)
       26    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1547(find_spec)
       26    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1518(_get_spec)
     3745    0.008    0.000    0.008    0.000 {built-in method _thread.allocate_lock}
     3005    0.003    0.000    0.007    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/threading.py:1427(current_thread)
       43    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1620(find_spec)
     2685    0.007    0.000    0.007    0.000 {built-in method builtins.min}
    12628    0.007    0.000    0.007    0.000 {method '__exit__' of '_thread.RLock' objects}
       80    0.001    0.000    0.007    0.000 /home/richard/projects/3m/neural_net_comparisons/neural_net_comparisons/implementations/matrix.py:119(clip)
      700    0.003    0.000    0.006    0.000 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/numpy/lib/_function_base_impl.py:339(iterable)
        1    0.000    0.000    0.006    0.006 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/secrets.py:1(<module>)
    20000    0.006    0.000    0.006    0.000 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:1247(_argmax_dispatcher)
        1    0.000    0.000    0.006    0.006 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/multiprocessing/synchronize.py:1(<module>)
     1502    0.004    0.000    0.006    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/_weakrefset.py:39(_remove)
       12    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:778(_compile_bytecode)
     3718    0.006    0.000    0.006    0.000 {method 'append' of 'collections.deque' objects}
       12    0.006    0.000    0.006    0.000 {built-in method marshal.loads}
       40    0.000    0.000    0.006    0.000 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/tqdm/utils.py:378(disp_len)
     1502    0.005    0.000    0.005    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/weakref.py:427(__setitem__)
      400    0.002    0.000    0.005    0.000 /home/richard/projects/3m/neural_net_comparisons/neural_net_comparisons/implementations/matrix.py:96(transpose)
       40    0.000    0.000    0.005    0.000 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/tqdm/utils.py:374(_text_width)
      860    0.005    0.000    0.005    0.000 {built-in method numpy.asarray}
       80    0.001    0.000    0.005    0.000 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2241(clip)
     1503    0.005    0.000    0.005    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/threading.py:1265(_make_invoke_excepthook)
       42    0.001    0.000    0.005    0.000 {built-in method builtins.sum}
        1    0.000    0.000    0.005    0.005 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/hmac.py:1(<module>)
     1503    0.001    0.000    0.005    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/threading.py:1018(_set_ident)
6488/6486    0.005    0.000    0.005    0.000 {built-in method builtins.len}
     4966    0.002    0.000    0.004    0.000 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/tqdm/utils.py:375(<genexpr>)
       25    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      711    0.004    0.000    0.004    0.000 {method '_acquire_restore' of '_thread.RLock' objects}
      700    0.003    0.000    0.004    0.000 {built-in method builtins.any}
      700    0.004    0.000    0.004    0.000 {built-in method builtins.iter}
      634    0.004    0.000    0.004    0.000 {method 'join' of 'str' objects}
     2680    0.004    0.000    0.004    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/concurrent/futures/_base.py:337(_invoke_callbacks)
     1503    0.001    0.000    0.004    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/threading.py:1022(_set_native_id)
       37    0.002    0.000    0.003    0.000 {built-in method builtins.__build_class__}
     3004    0.003    0.000    0.003    0.000 {built-in method time.monotonic}
       80    0.000    0.000    0.003    0.000 {method 'clip' of 'numpy.ndarray' objects}
     1322    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
       80    0.003    0.000    0.003    0.000 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/numpy/_core/_methods.py:99(_clip)
       14    0.000    0.000    0.003    0.000 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/tqdm/std.py:457(print_status)
     1503    0.003    0.000    0.003    0.000 {built-in method _thread.get_native_id}
       26    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.003    0.003 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/tqdm/std.py:952(__init__)
       40    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:304(acquire)
     1502    0.002    0.000    0.002    0.000 {method 'discard' of 'set' objects}
       13    0.000    0.000    0.002    0.000 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/tqdm/utils.py:386(disp_trim)
       92    0.002    0.000    0.002    0.000 {built-in method posix.stat}
       90    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
      711    0.002    0.000    0.002    0.000 {method '_release_save' of '_thread.RLock' objects}
       13    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1314(create_module)
     2680    0.002    0.000    0.002    0.000 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/numpy/_core/multiarray.py:761(dot)
       13    0.002    0.000    0.002    0.000 {built-in method _imp.create_dynamic}
     1502    0.002    0.000    0.002    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/weakref.py:369(remove)
       25    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     4926    0.002    0.000    0.002    0.000 {built-in method unicodedata.east_asian_width}
     3006    0.002    0.000    0.002    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/threading.py:1145(daemon)
      177    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
        1    0.001    0.001    0.002    0.002 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/collections/__init__.py:355(namedtuple)
        1    0.001    0.001    0.002    0.002 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/multiprocessing/process.py:1(<module>)
       24    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:509(cache_from_source)
        1    0.002    0.002    0.002    0.002 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/numpy/_core/_ufunc_config.py:464(inner)
       14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      240    0.001    0.000    0.001    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.001    0.000 {built-in method builtins.next}
       12    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1210(get_data)
